player_name,games,time,goals,xG,assists,xA,shots,key_passes,position,team_title,npg,npxG
Brandon Williams,10,689,1,0.9246470369398594,0,0.31068505719304085,5,9,D M S,Manchester United,1,0.9246470369398594
Mbwana Samatta,3,266,1,0.844255156815052,0,0.16064322739839554,7,4,F,Aston Villa,1,0.844255156815052
Yoshinori Muto,7,189,0,0.08367183804512024,0,0.014180720783770084,1,1,M S,Newcastle United,0,0.08367183804512024
Lukas Rupp,6,345,0,0.8406803458929062,0,0.4005937688052654,3,5,M S,Norwich,0,0.8406803458929062
Joelinton,10,857,0,1.740527844056487,1,1.5894118957221508,14,7,F M,Newcastle United,0,1.740527844056487
Jannik Vestergaard,10,779,0,0.3446928784251213,0,0.038372933864593506,6,2,D S,Southampton,0,0.3446928784251213
Bernd Leno,10,900,0,0,0,0,0,0,GK,Arsenal,0,0
Andreas Christensen,10,859,0,0.2029949352145195,0,0.11274046823382378,5,2,D,Chelsea,0,0.2029949352145195
Granit Xhaka,10,900,0,0.05183720588684082,0,0.45366938412189484,2,4,M,Arsenal,0,0.05183720588684082
Ørjan Nyland,3,176,0,0,0,0,0,0,GK S,Aston Villa,0,0
Henrikh Mkhitaryan,3,109,0,0.4295179098844528,0,0.2743019759654999,2,2,M S,Arsenal,0,0.4295179098844528
Ralf Fährmann,1,21,0,0,0,0,0,0,GK,Norwich,0,0
Max Meyer,10,385,0,0.20264942850917578,0,0.08461391180753708,5,1,F M S,Crystal Palace,0,0.20264942850917578
Sead Kolasinac,10,545,0,0.03012360818684101,1,0.32986248657107353,1,2,D M S,Arsenal,0,0.03012360818684101
Pierre-Emile Højbjerg,10,900,0,0.5363690434023738,1,0.3504801383242011,14,5,M,Southampton,0,0.5363690434023738
Simon Francis,10,867,0,0.01962360180914402,0,0.39298679772764444,1,3,D S,Bournemouth,0,0.01962360180914402
Charlie Daniels,2,126,0,0,0,0.14172236621379852,0,2,D,Bournemouth,0,0
Andrew Surman,5,230,0,0.03399353474378586,0,0.026229826733469963,1,1,M S,Bournemouth,0,0.03399353474378586
Matt Ritchie,9,651,0,0.4705069176852703,0,0.5951298326253891,13,15,D M S,Newcastle United,0,0.4705069176852703
Junior Stanislas,5,147,0,0.15738195180892944,0,0.050800394266843796,2,2,M S,Bournemouth,0,0.15738195180892944
Jordon Ibe,2,39,0,0,0,0,0,0,S,Bournemouth,0,0
Mamadou Sakho,8,463,0,0,0,0.029572835192084312,0,1,D S,Crystal Palace,0,0
Adam Lallana,10,336,0,0.2039431929588318,1,0.6536715552210808,4,4,M S,Liverpool,0,0.2039431929588318
Nacho Monreal,3,270,0,0.04398033022880554,0,0.45943301916122437,1,3,D,Arsenal,0,0.04398033022880554
Alex Iwobi,10,632,0,0.41937919333577156,0,1.2681873682886362,7,10,F M S,Everton,0,0.41937919333577156
Danny Welbeck,8,248,0,0.6208017915487289,0,0.03571087308228016,5,2,F S,Watford,0,0.6208017915487289
Calum Chambers,10,791,0,0.3641210524365306,1,1.0932576954364777,7,4,D,Arsenal,0,0.3641210524365306
Wayne Hennessey,2,180,0,0,0,0,0,0,GK,Crystal Palace,0,0
Joel Ward,10,673,0,0.035227056592702866,0,0.0780954360961914,1,2,D S,Crystal Palace,0,0.035227056592702866
Scott Dann,8,543,0,0.1654362753033638,1,0.17395922541618347,2,2,D S,Crystal Palace,0,0.1654362753033638
Wilfried Zaha,10,900,0,1.2682645916938782,2,1.291861740872264,12,11,F M,Crystal Palace,0,1.2682645916938782
Adrian Mariappa,10,870,0,0.08090360462665558,0,0.24789968505501747,1,4,D,Watford,0,0.08090360462665558
Martin Kelly,10,869,0,0.06097240559756756,0,0.1599062904715538,2,4,D,Crystal Palace,0,0.06097240559756756
Adrián,10,783,0,0,0,0,0,0,GK S,Liverpool,0,0
Angelo Ogbonna,10,900,0,0.7427984215319157,0,0,4,0,D,West Ham,0,0.7427984215319157
